GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
achat,tn.esprit.rh.achat.entities,Facture,117,0,0,0,20,0,21,0,21,0
achat,tn.esprit.rh.achat.entities,SecteurActivite,58,0,0,0,12,0,11,0,11,0
achat,tn.esprit.rh.achat.entities,CategorieProduit,55,0,0,0,11,0,11,0,11,0
achat,tn.esprit.rh.achat.entities,Operateur,71,0,0,0,14,0,13,0,13,0
achat,tn.esprit.rh.achat.entities,Stock.StockBuilder,74,0,0,0,1,0,8,0,8,0
achat,tn.esprit.rh.achat.entities,CategorieFournisseur,0,15,0,0,0,2,0,1,0,1
achat,tn.esprit.rh.achat.entities,DetailFournisseur,63,3,0,0,8,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,Produit,108,0,0,0,17,0,21,0,21,0
achat,tn.esprit.rh.achat.entities,Reglement,78,0,0,0,14,0,15,0,15,0
achat,tn.esprit.rh.achat.entities,Stock,39,48,0,0,5,15,7,8,7,8
achat,tn.esprit.rh.achat.entities,Fournisseur,97,0,0,0,18,0,17,0,17,0
achat,tn.esprit.rh.achat.entities,DetailFacture,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.controllers,CategorieProduitController,47,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,OperateurController,51,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,FournisseurRestController,65,0,0,0,11,0,7,0,7,0
achat,tn.esprit.rh.achat.controllers,ReglementRestController,41,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,FactureRestController,64,0,0,0,14,0,8,0,8,0
achat,tn.esprit.rh.achat.controllers,ProduitRestController,53,0,0,0,11,0,7,0,7,0
achat,tn.esprit.rh.achat.controllers,SecteurActiviteController,47,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat.controllers,StockRestController,51,0,0,0,9,0,6,0,6,0
achat,tn.esprit.rh.achat,AchatApplication,5,3,0,0,2,1,1,1,1,1
achat,tn.esprit.rh.achat.Dto,DTOStock,47,0,0,0,11,0,11,0,11,0
achat,tn.esprit.rh.achat.Dto,DTOFournisseur,70,0,0,0,16,0,15,0,15,0
achat,tn.esprit.rh.achat.Dto,DTOSecteurActivite,40,0,0,0,10,0,9,0,9,0
achat,tn.esprit.rh.achat.Dto,DTOOperateur,50,0,0,0,12,0,11,0,11,0
achat,tn.esprit.rh.achat.Dto,DTOProduit,61,0,0,0,13,0,15,0,15,0
achat,tn.esprit.rh.achat.Dto,DTOCategorieProduit,37,0,0,0,9,0,9,0,9,0
achat,tn.esprit.rh.achat.Dto,DTOFacture,84,0,0,0,18,0,19,0,19,0
achat,tn.esprit.rh.achat.Dto,DTOReglement,47,0,0,0,11,0,11,0,11,0
achat,tn.esprit.rh.achat.util,SpringFoxSwaggerConfig,0,80,0,0,0,22,0,6,0,6
achat,tn.esprit.rh.achat.services,StockServiceImpl,74,100,2,2,12,23,2,8,1,7
achat,tn.esprit.rh.achat.services,SecteurActiviteServiceImpl,43,3,0,0,10,1,5,1,5,1
achat,tn.esprit.rh.achat.services,CategorieProduitServiceImpl,42,3,0,0,10,1,5,1,5,1
achat,tn.esprit.rh.achat.services,ProduitServiceImpl,90,7,2,0,18,2,7,2,6,2
achat,tn.esprit.rh.achat.services,OperateurServiceImpl,47,3,0,0,11,1,5,1,5,1
achat,tn.esprit.rh.achat.services,FactureServiceImpl,143,0,2,0,27,0,10,0,9,0
achat,tn.esprit.rh.achat.services,FournisseurServiceImpl,110,7,2,0,25,2,8,2,7,2
achat,tn.esprit.rh.achat.services,ReglementServiceImpl,31,3,0,0,6,1,5,1,5,1
